oldname,newname
gpw_v4_e_a000_004bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_cntm_1_deg
gpw_v4_e_a000_004bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_cntm_15_min
gpw_v4_e_a000_004bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_cntm_2pt5_min
gpw_v4_e_a000_004bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_cntm_30_min
gpw_v4_e_a000_004bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_cntm_30_sec
gpw_v4_e_a000_004bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_dens_1_deg
gpw_v4_e_a000_004bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_dens_15_min
gpw_v4_e_a000_004bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_dens_2pt5_min
gpw_v4_e_a000_004bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_dens_30_min
gpw_v4_e_a000_004bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004bt_2010_dens_30_sec
gpw_v4_e_a000_004ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_cntm_1_deg
gpw_v4_e_a000_004ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_cntm_15_min
gpw_v4_e_a000_004ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_cntm_2pt5_min
gpw_v4_e_a000_004ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_cntm_30_min
gpw_v4_e_a000_004ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_cntm_30_sec
gpw_v4_e_a000_004ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_dens_1_deg
gpw_v4_e_a000_004ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_dens_15_min
gpw_v4_e_a000_004ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_dens_2pt5_min
gpw_v4_e_a000_004ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_dens_30_min
gpw_v4_e_a000_004ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004ft_2010_dens_30_sec
gpw_v4_e_a000_004mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_cntm_1_deg
gpw_v4_e_a000_004mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_cntm_15_min
gpw_v4_e_a000_004mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_cntm_2pt5_min
gpw_v4_e_a000_004mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_cntm_30_min
gpw_v4_e_a000_004mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_cntm_30_sec
gpw_v4_e_a000_004mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_dens_1_deg
gpw_v4_e_a000_004mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_dens_15_min
gpw_v4_e_a000_004mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_dens_2pt5_min
gpw_v4_e_a000_004mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_dens_30_min
gpw_v4_e_a000_004mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_004mt_2010_dens_30_sec
gpw_v4_e_a000_014bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_cntm_1_deg
gpw_v4_e_a000_014bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_cntm_15_min
gpw_v4_e_a000_014bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_cntm_2pt5_min
gpw_v4_e_a000_014bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_cntm_30_min
gpw_v4_e_a000_014bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_cntm_30_sec
gpw_v4_e_a000_014bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_dens_1_deg
gpw_v4_e_a000_014bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_dens_15_min
gpw_v4_e_a000_014bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_dens_2pt5_min
gpw_v4_e_a000_014bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_dens_30_min
gpw_v4_e_a000_014bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014bt_2010_dens_30_sec
gpw_v4_e_a000_014ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_cntm_1_deg
gpw_v4_e_a000_014ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_cntm_15_min
gpw_v4_e_a000_014ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_cntm_2pt5_min
gpw_v4_e_a000_014ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_cntm_30_min
gpw_v4_e_a000_014ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_cntm_30_sec
gpw_v4_e_a000_014ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_dens_1_deg
gpw_v4_e_a000_014ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_dens_15_min
gpw_v4_e_a000_014ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_dens_2pt5_min
gpw_v4_e_a000_014ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_dens_30_min
gpw_v4_e_a000_014ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014ft_2010_dens_30_sec
gpw_v4_e_a000_014mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_cntm_1_deg
gpw_v4_e_a000_014mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_cntm_15_min
gpw_v4_e_a000_014mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_cntm_2pt5_min
gpw_v4_e_a000_014mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_cntm_30_min
gpw_v4_e_a000_014mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_cntm_30_sec
gpw_v4_e_a000_014mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_dens_1_deg
gpw_v4_e_a000_014mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_dens_15_min
gpw_v4_e_a000_014mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_dens_2pt5_min
gpw_v4_e_a000_014mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_dens_30_min
gpw_v4_e_a000_014mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a000_014mt_2010_dens_30_sec
gpw_v4_e_a005_009bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_cntm_1_deg
gpw_v4_e_a005_009bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_cntm_15_min
gpw_v4_e_a005_009bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_cntm_2pt5_min
gpw_v4_e_a005_009bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_cntm_30_min
gpw_v4_e_a005_009bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_cntm_30_sec
gpw_v4_e_a005_009bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_dens_1_deg
gpw_v4_e_a005_009bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_dens_15_min
gpw_v4_e_a005_009bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_dens_2pt5_min
gpw_v4_e_a005_009bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_dens_30_min
gpw_v4_e_a005_009bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a005_009bt_2010_dens_30_sec
gpw_v4_e_a005_009ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a005_009ft_2010_cntm_1_deg
